4.23E-01,2.89E-01,3.12E-01,3.68E-01,4.59E-01,7.40E-01,1.93E+00
4.13E-01,3.13E-01,3.58E-01,4.30E-01,5.36E-01,8.21E-01,2.19E+00
4.06E-01,3.39E-01,4.07E-01,4.98E-01,6.20E-01,9.11E-01,2.49E+00
4.01E-01,3.66E-01,4.58E-01,5.69E-01,7.09E-01,1.01E+00,2.81E+00
3.99E-01,3.94E-01,5.12E-01,6.45E-01,8.03E-01,1.12E+00,3.16E+00
3.98E-01,4.24E-01,5.68E-01,7.23E-01,9.01E-01,1.24E+00,3.54E+00
3.99E-01,4.54E-01,6.25E-01,8.04E-01,1.00E+00,1.36E+00,3.95E+00
4.02E-01,4.85E-01,6.83E-01,8.86E-01,1.10E+00,1.50E+00,4.39E+00
4.06E-01,5.17E-01,7.41E-01,9.68E-01,1.20E+00,1.65E+00,4.84E+00
4.11E-01,5.50E-01,7.98E-01,1.05E+00,1.31E+00,1.81E+00,5.32E+00
4.18E-01,5.83E-01,8.54E-01,1.13E+00,1.40E+00,1.98E+00,5.81E+00
4.26E-01,6.15E-01,9.08E-01,1.20E+00,1.50E+00,2.15E+00,6.30E+00
4.34E-01,6.48E-01,9.60E-01,1.28E+00,1.59E+00,2.33E+00,6.80E+00
4.43E-01,6.80E-01,1.01E+00,1.34E+00,1.67E+00,2.51E+00,7.29E+00
4.53E-01,7.10E-01,1.05E+00,1.41E+00,1.75E+00,2.70E+00,7.75E+00
4.63E-01,7.40E-01,1.10E+00,1.46E+00,1.82E+00,2.89E+00,8.19E+00
4.73E-01,7.67E-01,1.13E+00,1.51E+00,1.88E+00,3.07E+00,8.59E+00
4.84E-01,7.93E-01,1.17E+00,1.55E+00,1.93E+00,3.24E+00,8.93E+00
4.93E-01,8.16E-01,1.19E+00,1.59E+00,1.98E+00,3.41E+00,9.22E+00
5.03E-01,8.36E-01,1.22E+00,1.62E+00,2.02E+00,3.55E+00,9.44E+00
5.11E-01,8.53E-01,1.24E+00,1.64E+00,2.05E+00,3.68E+00,9.58E+00
5.19E-01,8.67E-01,1.25E+00,1.66E+00,2.08E+00,3.79E+00,9.63E+00
5.25E-01,8.76E-01,1.26E+00,1.67E+00,2.10E+00,3.87E+00,9.60E+00
5.29E-01,8.82E-01,1.27E+00,1.67E+00,2.11E+00,3.92E+00,9.48E+00
5.31E-01,8.83E-01,1.27E+00,1.67E+00,2.12E+00,3.94E+00,9.26E+00
5.31E-01,8.80E-01,1.27E+00,1.67E+00,2.12E+00,3.93E+00,8.96E+00
5.29E-01,8.72E-01,1.27E+00,1.66E+00,2.12E+00,3.88E+00,8.59E+00
5.24E-01,8.60E-01,1.26E+00,1.65E+00,2.12E+00,3.79E+00,8.14E+00
5.16E-01,8.44E-01,1.25E+00,1.64E+00,2.12E+00,3.67E+00,7.63E+00
5.05E-01,8.23E-01,1.24E+00,1.63E+00,2.12E+00,3.52E+00,7.07E+00
4.92E-01,7.99E-01,1.22E+00,1.61E+00,2.11E+00,3.34E+00,6.48E+00
4.75E-01,7.70E-01,1.21E+00,1.60E+00,2.11E+00,3.14E+00,5.87E+00
4.55E-01,7.39E-01,1.19E+00,1.58E+00,2.11E+00,2.91E+00,5.25E+00
4.33E-01,7.04E-01,1.18E+00,1.57E+00,2.11E+00,2.67E+00,4.64E+00
4.09E-01,6.67E-01,1.16E+00,1.55E+00,2.11E+00,2.42E+00,4.05E+00
3.83E-01,6.28E-01,1.14E+00,1.54E+00,2.12E+00,2.17E+00,3.49E+00
3.55E-01,5.87E-01,1.12E+00,1.53E+00,2.13E+00,1.92E+00,2.97E+00
3.26E-01,5.46E-01,1.11E+00,1.52E+00,2.12E+00,1.74E+00,2.58E+00
3.00E-01,5.08E-01,1.09E+00,1.51E+00,2.05E+00,1.68E+00,2.39E+00
2.78E-01,4.75E-01,1.07E+00,1.51E+00,1.97E+00,1.63E+00,2.22E+00
2.59E-01,4.46E-01,1.04E+00,1.49E+00,1.89E+00,1.57E+00,2.07E+00
2.42E-01,4.19E-01,1.02E+00,1.48E+00,1.80E+00,1.52E+00,1.94E+00
2.27E-01,3.96E-01,9.82E-01,1.46E+00,1.71E+00,1.48E+00,1.83E+00
2.14E-01,3.74E-01,9.41E-01,1.44E+00,1.61E+00,1.43E+00,1.73E+00
2.02E-01,3.55E-01,8.94E-01,1.41E+00,1.52E+00,1.39E+00,1.63E+00
1.92E-01,3.38E-01,8.39E-01,1.37E+00,1.42E+00,1.35E+00,1.55E+00
1.82E-01,3.22E-01,7.77E-01,1.31E+00,1.33E+00,1.32E+00,1.48E+00
1.74E-01,3.07E-01,7.09E-01,1.20E+00,1.25E+00,1.28E+00,1.41E+00
1.66E-01,2.94E-01,6.39E-01,1.04E+00,1.16E+00,1.25E+00,1.35E+00
1.59E-01,2.82E-01,5.70E-01,8.09E-01,1.09E+00,1.22E+00,1.29E+00