Age,2010,2011,2012,2013
0,3951196,3962091,3941616,3941783
1,3957772,3965687,3976214,3955942
2,4090760,3970771,3978498,3989135
3,4111845,4101830,3981693,3989538
4,4077502,4121819,4111675,3991690
5,4064628,4087540,4131791,4121797
6,4072982,4074930,4097799,4142191
7,4042983,4083002,4084995,4108053
8,4025558,4052872,4093004,4095205
9,4125384,4035461,4062932,4103335
10,4187038,4135175,4045479,4073258
11,4115443,4196868,4145265,4055918
12,4113204,4125463,4207149,4155875
13,4119467,4123518,4135987,4217964
14,4145308,4130538,4134705,4147439
15,4230585,4157762,4142975,4147445
16,4312623,4245621,4172554,4158116
17,4375278,4331274,4263848,4191188
18,4490120,4397164,4352653,4285609
19,4570441,4515507,4421656,4376606
20,4567664,4595769,4542548,4445721
21,4387249,4592140,4626290,4568663
22,4286562,4412177,4623188,4655731
23,4216723,4312571,4443361,4652806
24,4243330,4242699,4343710,4472517
25,4289304,4268522,4273646,4372201
26,4160530,4312090,4297300,4300520
27,4236767,4181508,4337931,4322247
28,4247171,4256050,4204965,4360245
29,4209966,4263928,4277121,4224985
30,4303980,4224531,4282114,4294831
31,4042155,4316668,4240574,4297330
32,3967191,4052752,4330923,4254331
33,3933170,3976822,4064979,4342738
34,3821879,3941371,3987742,4075159
35,3947955,3828986,3950737,3996723
36,3829880,3953541,3836764,3957642
37,3896373,3834159,3959886,3842679
38,4079767,3899294,3839142,3964301
39,4324037,4081874,3902730,3842425
40,4387086,4324252,4084121,3904767
41,4163077,4385353,4324708,4084927
42,4082438,4160513,4383990,4323573
43,4093482,4079134,4158329,4380926
44,4178128,4089206,4075784,4154727
45,4438174,4171717,4083792,4070408
46,4529333,4429745,4164419,4076903
47,4535152,4519258,4420484,4156273
48,4534383,4522988,4508027,4409800
49,4598833,4520377,4509243,4494922
50,4645935,4582763,4504988,4494482
51,4498791,4628758,4566011,4489236
52,4480434,4479877,4609720,4547907
53,4439246,4459913,4459493,4589261
54,4288253,4417276,4437914,4438340
55,4258793,4265090,4393712,4415162
56,4092993,4234466,4240749,4369543
57,3946407,4067799,4208604,4215577
58,3802354,3919888,4040906,4181408
59,3694181,3774946,3891835,4012740
60,3616653,3665532,3746038,3862796
61,3520058,3586896,3635651,3715993
62,3494984,3487798,3554229,3603520
63,3652141,3460406,3452640,3519231
64,2706004,3616755,3426414,3420461
65,2678485,2674963,3579451,3391067
66,2621311,2644095,2641363,3534440
67,2693683,2584729,2606850,2604610
68,2359797,2654661,2546704,2569911
69,2167815,2322034,2614073,2508689
70,2062492,2129160,2281868,2569502
71,1953510,2022202,2088118,2238499
72,1883726,1911725,1979577,2044846
73,1750221,1839526,1867432,1934570
74,1685890,1705033,1792678,1820632
75,1631754,1638121,1657349,1743415
76,1481577,1580924,1587795,1607329
77,1449048,1430570,1527275,1534778
78,1402054,1394357,1377032,1471162
79,1354769,1343609,1337088,1321197
80,1319594,1292394,1282492,1277377
81,1212472,1252587,1227499,1219160
82,1158233,1144202,1183022,1160321
83,1081339,1085805,1073424,1111120
84,986942,1005999,1011038,1000660
85,914920,910082,928644,934503
86,821479,835692,832007,850340
87,721134,742382,756204,753974
88,636603,644184,664051,677766
89,546156,561087,568886,587609
90,448274,474861,488313,496558
91,344411,383619,407324,419645
92,288819,290118,323374,344621
93,219042,238873,240643,268598
94,170799,177394,194107,196402
95,131086,135689,140971,155062
96,97166,101805,105712,110012
97,68927,73738,77427,80822
98,47054,51060,54757,57740
99,32193,33924,36951,39790
100,54437,58309,62246,67347